"spkid","full_name","diameter","per","moid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per_y","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20001981,"  1981 Midas (1973 EA)",3.4,865,0.00277,1981,Midas,,Y,Y,0,15.25,,,,,,,,,5.22,,,,,V,,,,"JPL 367",2461000.5,61000,2025-11-21.0,J2000,0.6505,1.776,0.621,39.82,356.79,267.84,65.35,2.93,0.4163,2460843.54,2025-06-17.0,2.37,1.08,3.31,3.61,7.7e-10,1.8e-09,1.1e-09,1.5e-07,1.3e-07,1.6e-07,1.8e-06,3.0e-09,6.3e-10,4.0e-06,1.3e-06,APO,"Otto Matic",19204,1973-03-06,2025-10-03,2297,6,1,0,.38755,,,,,,,,,
20002059,"  2059 Baboquivari (1963 UA)",,1.57e+03,0.245,2059,Baboquivari,,Y,N,0,15.98,,,,,,,,,129.47,,,,,,,,,278,2461000.5,61000,2025-11-21.0,J2000,0.5316,2.642,1.237,11.02,200.69,192.46,143.16,4.05,0.2295,2460376.79,2024-03-07.2,4.29,95.4,1.4,3.15,1.0e-09,1.6e-09,3.2e-09,1.1e-07,5.9e-07,7.6e-07,3.9e-07,2.5e-09,2.1e-10,1.2e-06,1.4e-06,AMO,"Otto Matic",22419,1963-11-09,2025-03-27,1547,,,0,.44432,,,,,,,,,
20002061,"  2061 Anza (1960 UA)",2.6,1.25e+03,0.0558,2061,Anza,,Y,N,0,16.70,,,,,,,,,6.712,,0.825,0.350,,,TCG:,,,199,2461000.5,61000,2025-11-21.0,J2000,0.5356,2.265,1.052,3.80,207.35,157.11,38.89,3.48,0.2891,2460865.98,2025-07-09.4,3.41,21.7,1.99,3.41,2.2e-08,9.3e-10,5.0e-08,2.8e-06,4.3e-05,4.3e-05,1.5e-06,1.4e-09,1.8e-10,5.2e-06,7.6e-07,AMO,"Otto Matic",23689,1960-10-22,2025-08-31,1909,,,0,.35046,,,,,,,,,
20002062,"  2062 Aten (1976 AA)",1.1,347,0.113,2062,Aten,,Y,N,0,17.11,,,,,,,,0.26,42.15,,0.930,0.460,,Sr,S,,,149,2461000.5,61000,2025-11-21.0,J2000,0.1829,0.967,0.790,18.94,108.53,148.08,32.64,1.14,1.037,2460969.01,2025-10-20.5,0.951,44,3.92,6.18,1.4e-09,1.1e-09,1.3e-09,7.1e-07,1.4e-06,1.7e-06,5.9e-06,1.2e-09,1.7e-09,5.6e-06,5.7e-07,ATE,Giorgini,23339,1955-12-17,2019-11-10,1024,5,2,0,.34905,,,,-1.1e-14,1.1e-15,,,,
20002063,"  2063 Bacchus (1977 HB)",1.024,409,0.0667,2063,Bacchus,,Y,N,0,17.21,,,,,,,"1.11 x 0.53 x 0.50",0.203,14.904,,,,,Sq,,,0.02,258,2461000.5,61000,2025-11-21.0,J2000,0.3494,1.078,0.701,9.43,33.04,55.35,234.79,1.45,0.8806,2461142.69,2026-04-12.1,1.12,26,3.78,5.67,3.1e-09,6.8e-10,3.1e-09,2.5e-07,1.3e-06,1.6e-06,2.9e-06,9.2e-10,8.4e-10,3.4e-06,3.9e-07,APO,"Otto Matic",17584,1977-04-24,2025-06-15,1561,7,5,0,.36685,,,,-8.1e-15,7.9e-16,,,,
20002100,"  2100 Ra-Shalom (1978 RA)",2.3,277,0.15,2100,Ra-Shalom,,Y,N,0,16.25,0.12,,,,,,,0.13,19.797,,0.712,0.310,,Xc,C,,0.20,"JPL 459",2461000.5,61000,2025-11-21.0,J2000,0.4365,0.832,0.469,15.76,170.76,356.08,249.11,1.20,1.299,2461085.89,2026-02-14.3,0.759,58.3,3.78,6.95,3.3e-09,4.9e-10,3.0e-09,2.1e-07,9.8e-07,9.3e-07,1.9e-06,7.1e-10,1.2e-09,1.6e-06,2.5e-07,ATE,"Otto Matic",18258,1975-10-03,2025-09-28,4002,9,2,0,.26879,,,,-5.2e-15,5.7e-16,,,,
20002101,"  2101 Adonis (1936 CA)",0.6,937,0.0115,2101,Adonis,,Y,Y,0,18.69,,,,,,,,,,,,,,,,,,52,2461000.5,61000,2025-11-21.0,J2000,0.7641,1.874,0.442,1.32,349.41,43.71,24.48,3.31,0.3842,2460936.78,2025-09-18.2,2.57,4.48,2.14,3.55,4.5e-08,1.0e-08,8.5e-08,6.9e-06,4.5e-04,4.5e-04,1.0e-05,1.8e-08,3.2e-09,2.6e-05,7.8e-06,APO,"Otto Matic",32656,1936-02-21,2025-07-19,149,0,5,0,.40116,,,,-3.3e-14,5.4e-15,,,,
20002102,"  2102 Tantalus (1975 YA)",1.649,535,0.0426,2102,Tantalus,,Y,Y,0,16.00,,,,,,,,0.245,2.384,,,,,Q,,,0.04,"JPL 261",2461000.5,61000,2025-11-21.0,J2000,0.2994,1.29,0.904,64.01,94.35,61.50,347.36,1.68,0.6726,2461019.30,2025-12-09.7,1.47,16.6,3.77,4.45,4.3e-10,2.5e-10,5.9e-10,8.9e-08,8.7e-08,1.2e-07,6.3e-07,3.2e-10,1.9e-10,9.5e-07,1.5e-07,APO,"Otto Matic",18167,1976-01-02,2025-09-28,2154,1,0,0,.38805,,,,,,,,,
20002135,"  2135 Aristaeus (1977 HA)",,739,0.00853,2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,24,2461000.5,61000,2025-11-21.0,J2000,0.5031,1.6,0.795,23.07,191.11,290.98,37.18,2.40,0.4872,2460924.18,2025-09-05.6,2.02,3.32,2.96,4.13,1.3e-06,7.5e-08,2.0e-06,5.1e-05,3.4e-04,1.6e-04,7.8e-04,1.1e-07,3.4e-08,1.6e-03,5.2e-05,APO,"Otto Matic",15749,1977-04-17,2020-05-30,61,,,1,.54865,,,,,,,,,
20002201,"  2201 Oljato (1947 XC)",1.80,1.17e+03,0.00278,2201,Oljato,,Y,Y,0,15.32,,,,,,,,0.4328,26,,,,,Sq,,,0.10,"JPL 352",2461000.5,61000,2025-11-21.0,J2000,0.7107,2.179,0.630,2.52,74.86,98.37,97.01,3.73,0.3065,2460683.98,2025-01-08.4,3.22,1.08,1.25,3.3,3.0e-09,1.3e-09,6.6e-09,1.3e-07,4.8e-06,5.0e-06,8.9e-07,2.3e-09,2.8e-10,2.6e-06,1.1e-06,APO,"Otto Matic",34265,1931-12-03,2025-09-25,1847,0,5,0,.47843,,,,,,,,,
