"spkid","full_name","diameter","per","moid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per_y","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20374449,"374449 (2005 XD1)",0.414,753,0.15,374449,,,Y,N,0,19.39,,,,,,,,0.179,,,,,,,,,0.01,77,2461000.5,61000,2025-11-21.0,J2000,0.3066,1.621,1.124,18.28,287.34,198.76,225.10,2.12,0.4778,2461282.85,2026-08-30.3,2.06,58.5,3.01,4.22,7.9e-08,2.3e-08,1.3e-07,1.1e-05,1.2e-05,4.2e-05,9.0e-05,3.0e-08,1.0e-08,1.9e-04,1.6e-05,AMO,"Otto Matic",7151,2005-12-04,2025-07-03,347,,,0,.4317,,,,,,,,,
20374851,"374851 (2006 VV2)",,1.35e+03,0.00952,374851,,,Y,Y,1,16.71,,,,,,,,,2.425,,,,,,,,,185,2461000.5,61000,2025-11-21.0,J2000,0.6053,2.387,0.942,23.73,9.81,145.03,27.18,3.83,0.2672,2460898.78,2025-08-11.2,3.69,3.7,1.4,3.17,8.7e-09,5.5e-09,2.2e-08,6.0e-06,1.5e-06,4.9e-06,6.7e-06,8.8e-09,9.2e-10,2.5e-05,4.6e-06,APO,"Otto Matic",8092,2002-10-04,2024-11-29,1606,1,0,0,.37054,,,,,,,,,
20374855,"374855 (2006 VQ13)",,421,0.00837,374855,,,Y,Y,0,20.11,,,,,,,,,,,,,,,,,,68,2461000.5,61000,2025-11-21.0,J2000,0.4459,1.099,0.609,16.70,233.67,73.82,233.12,1.59,0.855,2461148.89,2026-04-18.3,1.15,3.26,3.73,5.52,9.7e-08,9.7e-10,1.1e-07,1.0e-05,7.4e-06,1.2e-05,6.7e-06,1.4e-09,1.1e-09,7.9e-06,5.6e-07,APO,"Otto Matic",8469,1998-11-23,2022-01-30,608,,,0,.35535,,,,,,,,,
20375054,"375054 (2007 PF6)",,540,0.031,375054,,,Y,Y,0,20.81,,,,,,,,,,,,,,,,,,34,2461000.5,61000,2025-11-21.0,J2000,0.4164,1.298,0.758,25.60,316.33,251.27,186.23,1.84,0.6663,2461261.30,2026-08-08.8,1.48,12,3.37,4.83,1.1e-07,9.4e-09,1.5e-07,2.2e-05,1.3e-05,2.4e-05,2.3e-05,1.3e-08,7.3e-09,3.6e-05,5.9e-06,APO,"Otto Matic",4180,2007-08-08,2019-01-17,100,,,0,.64786,,,,,,,,,
20375103,"375103 (2007 TD71)",,533,0.0325,375103,,,Y,Y,0,18.50,,,,,,,,,,,,,,,,,,56,2461000.5,61000,2025-11-21.0,J2000,0.2799,1.286,0.926,49.75,49.57,220.77,218.41,1.65,0.6756,2461210.07,2026-06-18.5,1.46,12.7,3.47,4.66,1.3e-07,1.0e-08,1.6e-07,2.0e-05,1.1e-05,3.0e-05,6.3e-05,1.3e-08,7.9e-09,9.5e-05,6.2e-06,APO,"Otto Matic",7390,2003-10-23,2024-01-16,150,,,0,.57838,,,,,,,,,
20375505,"375505 (2008 UN90)",,608,0.265,375505,,,Y,N,0,20.20,,,,,,,,,,,,,,,,,,79,2461000.5,61000,2025-11-21.0,J2000,0.1256,1.404,1.228,17.55,33.49,313.21,121.31,1.58,0.5922,2460795.64,2025-04-30.1,1.66,103,3.69,4.69,1.0e-07,1.7e-09,1.4e-07,1.2e-05,1.0e-05,2.4e-05,2.1e-05,2.0e-09,1.1e-09,3.6e-05,1.1e-06,AMO,"Otto Matic",9158,1998-11-17,2023-12-14,431,,,0,.52331,,,,,,,,,
20375657,"375657 (2009 CP5)",,495,0.057,375657,,,Y,N,0,21.49,,,,,,,,,,,,,,,,,,40,2461000.5,61000,2025-11-21.0,J2000,0.3143,1.225,0.840,13.12,330.22,268.49,67.62,1.61,0.7267,2460907.45,2025-08-19.9,1.36,22.2,3.46,5.14,7.3e-08,1.2e-08,8.2e-08,7.4e-06,1.6e-05,2.8e-05,4.4e-05,1.6e-08,1.1e-08,6.0e-05,7.4e-06,APO,"Otto Matic",1699,2009-02-14,2013-10-10,163,,,0,.4892,,,,,,,,,
20376707,"376707 (1995 OO)",,1.16e+03,0.289,376707,,,Y,N,0,17.00,,,,,,,,,,,,,,,,,,66,2461000.5,61000,2025-11-21.0,J2000,0.7785,2.155,0.477,23.52,348.78,212.05,262.73,3.83,0.3115,2461312.78,2026-09-29.2,3.16,113,1.47,3.15,1.7e-09,5.8e-09,3.4e-09,3.3e-07,1.0e-06,1.1e-06,4.2e-06,1.0e-08,1.2e-09,1.5e-05,4.6e-06,APO,"Otto Matic",9961,1995-07-25,2022-11-01,1709,,,0,.24207,,,,,,,,,
20376729,"376729 (1998 YB8)",,1.37e+03,0.302,376729,,,Y,N,0,19.08,,,,,,,,,,,,,,,,,,41,2461000.5,61000,2025-11-21.0,J2000,0.4700,2.419,1.282,8.92,106.43,343.67,52.14,3.56,0.262,2460801.48,2025-05-05.9,3.76,117,1.7,3.34,7.3e-08,1.1e-08,1.7e-07,7.2e-06,4.0e-05,4.7e-05,1.4e-05,1.6e-08,1.8e-09,5.6e-05,9.3e-06,AMO,"Otto Matic",12518,1984-01-03,2018-04-12,199,,,0,.61958,,,,,,,,,
20376775,"376775 (2000 HW23)",,1.15e+03,0.261,376775,,,Y,N,0,18.38,,,,,,,,,,,,,,,,,,69,2461000.5,61000,2025-11-21.0,J2000,0.4233,2.154,1.242,7.75,46.34,245.09,353.68,3.07,0.3117,2461020.77,2025-12-11.2,3.16,102,2.18,3.57,2.3e-08,6.8e-09,5.1e-08,5.9e-06,2.5e-05,2.8e-05,8.6e-06,9.7e-09,1.5e-09,2.8e-05,5.5e-06,AMO,"Otto Matic",17034,1978-08-12,2025-04-01,345,,,0,.60707,,,,,,,,,
20376778,"376778 (2000 JY8)",,1.68e+03,0.157,376778,,,Y,N,0,17.32,,,,,,,,,,,,,,,,,,73,2461000.5,61000,2025-11-21.0,J2000,0.6113,2.77,1.076,16.49,108.62,41.81,205.75,4.46,0.2138,2461721.82,2027-11-12.3,4.61,61.1,0.942,2.99,4.5e-08,1.7e-08,1.3e-07,8.9e-06,3.6e-05,3.8e-05,9.7e-06,2.7e-08,1.9e-09,5.1e-05,1.5e-05,AMO,"Otto Matic",8458,2000-05-04,2023-07-01,277,,,0,.44517,,,,,,,,,
20376788,"376788 (2000 RV37)",,388,0.142,376788,,,Y,N,0,19.55,,,,,,,,,,,,,,,,,,69,2461000.5,61000,2025-11-21.0,J2000,0.4959,1.041,0.525,16.33,330.30,210.99,44.90,1.56,0.9281,2460952.12,2025-10-03.6,1.06,55.1,3.44,5.74,7.8e-08,2.2e-09,8.1e-08,1.0e-05,1.4e-05,1.6e-05,2.8e-05,3.2e-09,2.9e-09,3.0e-05,1.2e-06,APO,"Otto Matic",6963,2000-09-03,2019-09-27,238,,,0,.58135,,,,,,,,,
20376848,"376848 (2001 RY47)",,315,0.0814,376848,,,Y,N,0,19.61,,,,,,,,,,,,,,,,,,81,2461000.5,61000,2025-11-21.0,J2000,0.3929,0.9065,0.550,17.61,11.19,214.10,112.47,1.26,1.142,2460902.01,2025-08-14.5,0.863,31.7,3.73,6.47,1.2e-07,1.5e-09,1.1e-07,9.2e-06,1.1e-05,1.6e-05,2.7e-05,2.0e-09,2.8e-09,2.4e-05,7.6e-07,ATE,"Otto Matic",7393,2001-09-15,2021-12-12,398,,,0,.47055,,,,,,,,,
20376864,"376864 (2001 TP103)",,883,0.186,376864,,,Y,N,0,20.26,,,,,,,,,28.13,,,,,,,,,58,2461000.5,61000,2025-11-21.0,J2000,0.3598,1.801,1.153,4.74,224.11,243.19,304.56,2.45,0.4079,2461136.40,2026-04-05.9,2.42,72.4,2.73,3.98,8.0e-08,6.7e-09,1.4e-07,4.7e-06,6.8e-05,7.3e-05,8.7e-06,9.1e-09,2.3e-09,2.1e-05,4.9e-06,AMO,"Otto Matic",8305,2001-10-12,2024-07-08,831,,,0,.31613,,,,,,,,,
20376879,"376879 (2001 WW1)",,486,0.109,376879,,,Y,N,0,22.35,,,,,,,,,,,,,,,,,,31,2461000.5,61000,2025-11-21.0,J2000,0.1216,1.21,1.063,21.74,59.78,46.05,331.72,1.36,0.7408,2461038.68,2025-12-29.1,1.33,42.5,3.8,5.19,2.2e-07,9.1e-09,2.7e-07,3.4e-05,8.3e-06,1.4e-04,1.1e-04,1.0e-08,8.3e-09,1.5e-04,5.5e-06,AMO,"Otto Matic",7295,2001-11-18,2021-11-08,106,,,0,.52259,,,,-6.3e-14,1.4e-14,,,,
20376883,"376883 (2001 XE1)",,742,0.426,376883,,,Y,N,0,19.48,,,,,,,,,,,,,,,,,,38,2461000.5,61000,2025-11-21.0,J2000,0.2109,1.603,1.265,20.95,231.07,273.14,236.52,1.94,0.4854,2461254.89,2026-08-02.3,2.03,166,3.25,4.26,8.2e-07,6.7e-08,1.3e-06,2.9e-05,2.8e-05,3.4e-04,4.9e-04,8.1e-08,3.0e-08,1.0e-03,4.6e-05,AMO,"Otto Matic",8702,2001-11-17,2025-09-14,101,,,1,.61092,,,,,,,,,
20377097,"377097 (2002 WQ4)",,1e+03,0.0192,377097,,,Y,Y,0,19.71,,,,,,,,,36,,,,,,,,,102,2461000.5,61000,2025-11-21.0,J2000,0.5561,1.957,0.868,3.94,266.86,244.66,104.91,3.04,0.3601,2460709.19,2025-02-02.6,2.74,7.47,2,3.68,3.5e-08,3.2e-09,6.9e-08,5.9e-06,2.1e-05,2.4e-05,2.1e-06,4.9e-09,8.8e-10,6.1e-06,2.4e-06,APO,"Otto Matic",27052,1950-12-11,2025-01-03,405,0,1,0,.33489,,,,-2.2e-14,4.5e-15,,,,
20377732,"377732 (2005 XJ8)",0.986,980,0.016,377732,,,Y,Y,0,17.06,,,,,,,,0.288,42.89,,,,,,,,0.03,178,2461000.5,61000,2025-11-21.0,J2000,0.6205,1.931,0.733,23.56,115.79,67.45,124.43,3.13,0.3672,2460661.62,2024-12-17.1,2.68,6.21,2.28,3.57,1.5e-08,2.5e-09,2.9e-08,5.5e-06,3.9e-06,4.3e-06,2.8e-06,4.1e-09,7.2e-10,7.2e-06,1.9e-06,APO,"Otto Matic",7174,2005-12-04,2025-07-26,874,,,0,.47573,,,,,,,,,
20377972,"377972 (2006 MF10)",,1.21e+03,0.265,377972,,,Y,N,0,19.38,,,,,,,,,,,,,,,,,,42,2461000.5,61000,2025-11-21.0,J2000,0.4248,2.219,1.277,3.04,196.45,64.96,318.83,3.16,0.2981,2461138.62,2026-04-08.1,3.31,103,1.93,3.52,7.9e-08,1.9e-08,1.7e-07,7.1e-06,1.9e-04,2.0e-04,5.3e-05,2.6e-08,3.7e-09,1.8e-04,1.5e-05,AMO,"Otto Matic",8389,1996-04-18,2019-04-07,158,,,0,.5137,,,,,,,,,
20378124,"378124 (2006 VT2)",,518,0.25,378124,,,Y,N,0,18.23,,,,,,,,,,,,,,,,,,112,2461000.5,61000,2025-11-21.0,J2000,0.7228,1.263,0.350,31.84,59.42,152.67,59.23,2.18,0.6946,2460915.24,2025-08-27.7,1.42,97.3,2.88,4.7,6.2e-08,4.6e-09,7.7e-08,9.3e-06,6.7e-06,8.2e-06,1.8e-05,7.8e-09,3.8e-09,2.6e-05,2.8e-06,APO,"Otto Matic",6597,2006-11-11,2024-12-03,490,,,0,.55629,,,,,,,,,
20378160,"378160 (2006 WX1)",,320,0.0294,378160,,,Y,Y,0,19.68,,,,,,,,,,,,,,,,,,74,2461000.5,61000,2025-11-21.0,J2000,0.3002,0.9165,0.641,11.64,327.95,290.96,43.92,1.19,1.123,2460961.40,2025-10-12.9,0.877,11.5,3.89,6.46,1.6e-07,2.7e-09,1.5e-07,7.8e-06,2.6e-05,2.7e-05,2.2e-05,3.5e-09,5.0e-09,2.0e-05,1.4e-06,ATE,"Otto Matic",5877,2006-11-19,2022-12-22,256,,,0,.47109,,,,,,,,,
20378358,"378358 (2007 LD)",,828,0.0355,378358,,,Y,Y,0,19.33,,,,,,,,,,,,,,,,,,48,2461000.5,61000,2025-11-21.0,J2000,0.4392,1.726,0.968,16.51,226.15,316.99,71.67,2.48,0.4347,2460835.61,2025-06-09.1,2.27,13.8,2.57,4.01,6.8e-08,8.7e-09,1.2e-07,1.9e-05,2.5e-05,3.1e-05,2.8e-05,1.2e-08,3.3e-09,6.4e-05,6.2e-06,APO,"Otto Matic",6421,2007-06-07,2025-01-04,162,,,0,.6404,,,,,,,,,
20378526,"378526 (2007 VH186)",,721,0.281,378526,,,Y,N,0,20.33,,,,,,,,,,,,,,,,,,46,2461000.5,61000,2025-11-21.0,J2000,0.1968,1.574,1.264,19.24,51.45,15.29,26.96,1.88,0.4991,2460946.49,2025-09-27.9,1.97,109,3.47,4.32,1.7e-07,1.3e-08,2.5e-07,1.2e-05,1.5e-05,6.7e-05,5.9e-05,1.6e-08,6.3e-09,1.2e-04,9.1e-06,AMO,"Otto Matic",5942,2007-11-11,2024-02-17,138,,,0,.58096,,,,,,,,,
20378610,"378610 (2008 FT6)",,1.14e+03,0.298,378610,,,Y,N,0,17.42,,,,,,,,,112,,,,,,,,,"JPL 202",2461000.5,61000,2025-11-21.0,J2000,0.4263,2.138,1.227,13.58,41.88,52.23,297.30,3.05,0.3152,2461199.40,2026-06-07.8,3.13,116,2.32,3.56,4.6e-08,1.7e-08,1.1e-07,4.9e-06,1.6e-05,1.8e-05,1.7e-05,2.5e-08,3.8e-09,5.5e-05,1.4e-05,AMO,"Otto Matic",6450,2008-01-20,2025-09-17,942,,,0,.493,,,,,,,,,
20378842,"378842 (2008 TD4)",,898,0.091,378842,,,Y,N,0,19.78,,,,,,,,,,,,,,,,,,39,2461000.5,61000,2025-11-21.0,J2000,0.6184,1.821,0.695,14.45,221.83,54.94,14.06,2.95,0.401,2460965.44,2025-10-16.9,2.46,35.4,2.32,3.76,1.1e-07,1.5e-08,2.1e-07,2.3e-05,3.4e-05,3.9e-05,2.9e-05,2.4e-08,4.9e-09,7.2e-05,1.1e-05,APO,"Otto Matic",5246,2008-10-07,2023-02-17,154,,,0,.4451,,,,,,,,,
20380128,"380128 (1997 WB21)",,644,0.051,380128,,,Y,N,0,20.27,,,,,,,,,14.39,,,,,,,,,94,2461000.5,61000,2025-11-21.0,J2000,0.3169,1.46,0.997,3.39,280.95,81.97,337.91,1.92,0.5589,2461040.02,2025-12-30.5,1.76,19.8,3.54,4.57,2.2e-08,1.5e-09,3.3e-08,3.1e-06,3.5e-05,3.6e-05,4.6e-06,1.9e-09,8.4e-10,8.3e-06,9.6e-07,APO,"Otto Matic",10015,1997-11-26,2025-04-28,421,,,0,.48523,,,,,,,,,
20380160,"380160 (2000 JO78)",,1.15e+03,0.195,380160,,,Y,N,0,17.78,,,,,,,,,137.239,,,,,,,,,114,2461000.5,61000,2025-11-21.0,J2000,0.4374,2.152,1.211,7.33,310.49,349.97,356.62,3.09,0.3122,2461011.33,2025-12-01.8,3.16,75.9,2.16,3.56,2.8e-08,8.0e-09,6.1e-08,3.7e-06,3.6e-05,3.6e-05,6.3e-06,1.2e-08,1.7e-09,2.0e-05,6.5e-06,AMO,"Otto Matic",17041,1978-08-08,2025-04-04,912,,,0,.36968,,,,,,,,,
20380188,"380188 (2000 WC67)",1.312,1.6e+03,0.21,380188,,,Y,N,0,18.81,,,,,,,,0.037,,,,,,X,,,0.02,53,2461000.5,61000,2025-11-21.0,J2000,0.5826,2.673,1.116,9.93,249.72,251.69,220.38,4.23,0.2255,2461619.57,2027-08-02.0,4.37,81.7,1.16,3.09,9.7e-08,2.6e-08,2.6e-07,1.4e-05,3.8e-05,4.3e-05,1.6e-05,4.1e-08,3.3e-09,8.0e-05,2.3e-05,AMO,"Otto Matic",8218,2000-11-21,2023-05-23,239,,,0,.47029,,,,,,,,,
20380205,"380205 (2001 CA32)",,1.21e+03,0.301,380205,,,Y,N,0,19.39,,,,,,,,,,,,,,,,0.92,,43,2461000.5,61000,2025-11-21.0,J2000,0.4673,2.223,1.184,21.40,353.28,124.69,180.76,3.26,0.2975,2461603.09,2027-07-16.5,3.31,117,2.1,3.42,5.1e-08,1.0e-08,1.1e-07,1.8e-05,2.2e-05,4.4e-05,2.8e-05,1.5e-08,2.0e-09,9.8e-05,8.3e-06,AMO,"Otto Matic",8312,2001-02-05,2023-11-09,123,,,0,.6696,,,,,,,,,
20380321,"380321 (2002 HF8)",,1.29e+03,0.183,380321,,,Y,N,0,18.26,,,,,,,,,,,,,,,,,,67,2461000.5,61000,2025-11-21.0,J2000,0.4923,2.316,1.176,4.76,48.53,261.85,204.50,3.46,0.2796,2461556.70,2027-05-31.2,3.53,71.4,1.86,3.4,3.6e-08,1.2e-08,8.2e-08,8.9e-06,6.0e-05,7.1e-05,5.1e-05,1.8e-08,2.2e-09,1.9e-04,1.0e-05,AMO,"Otto Matic",10197,1995-05-29,2023-04-29,208,,,0,.70579,,,,,,,,,
20380359,"380359 (2002 TN30)",,1.3e+03,0.49,380359,,,Y,N,0,17.28,,,,,,,,,13.44,,,,,,,,,177,2461000.5,61000,2025-11-21.0,J2000,0.4474,2.334,1.290,19.84,20.56,91.71,133.70,3.38,0.2764,2460516.73,2024-07-25.2,3.57,191,2.23,3.36,3.1e-08,5.8e-09,7.1e-08,4.5e-06,1.0e-05,1.4e-05,3.8e-06,8.5e-09,1.0e-09,1.3e-05,4.9e-06,AMO,"Otto Matic",13094,1989-03-08,2025-01-12,943,,,0,.43686,,,,,,,,,
20380455,"380455 (2003 UL3)",,1.24e+03,0.228,380455,,,Y,N,0,17.55,,,,,,,,,,,,,,,,,,80,2461000.5,61000,2025-11-21.0,J2000,0.7936,2.254,0.465,14.43,152.79,13.53,166.98,4.04,0.2913,2460427.18,2024-04-26.6,3.38,88.7,0.957,3.08,3.2e-08,1.5e-08,7.1e-08,6.8e-06,2.3e-05,2.4e-05,4.0e-06,2.6e-08,2.9e-09,1.2e-05,1.2e-05,APO,"Otto Matic",7596,2003-10-16,2024-08-02,308,,,0,.37923,,,,,,,,,
20380476,"380476 (2003 YO1)",,455,0.228,380476,,,Y,N,0,19.34,,,,,,,,,,,,,,,,,,78,2461000.5,61000,2025-11-21.0,J2000,0.3991,1.158,0.696,14.26,65.13,161.46,99.81,1.62,0.7912,2460874.35,2025-07-17.8,1.25,88.6,3.37,5.33,5.9e-08,3.1e-09,6.8e-08,5.8e-06,1.4e-05,2.3e-05,2.6e-05,4.3e-09,3.2e-09,3.3e-05,1.8e-06,APO,"Otto Matic",11314,1994-01-13,2025-01-04,283,,,0,.54099,,,,,,,,,
20380524,"380524 (2004 GY)",,636,0.121,380524,,,Y,N,0,20.17,,,,,,,,,,,,,,,,,,35,2461000.5,61000,2025-11-21.0,J2000,0.2181,1.448,1.132,23.44,50.85,182.94,127.32,1.76,0.5657,2460775.41,2025-04-09.9,1.74,47,3.23,4.54,1.4e-07,1.0e-08,2.0e-07,3.1e-05,1.5e-05,4.1e-05,7.4e-05,1.2e-08,6.0e-09,1.3e-04,6.7e-06,AMO,"Otto Matic",7814,2004-04-11,2025-09-02,141,,,0,.53139,,,,,,,,,
20380636,"380636 (2004 XN14)",,328,0.00319,380636,,,Y,Y,0,19.76,,,,,,,,,,,,,,,,,,90,2461000.5,61000,2025-11-21.0,J2000,0.2667,0.9316,0.683,10.74,120.80,115.76,344.18,1.18,1.096,2461014.93,2025-12-05.4,0.899,1.24,3.83,6.39,9.0e-08,1.0e-09,8.4e-08,5.7e-06,2.7e-05,2.4e-05,2.9e-05,1.3e-09,1.8e-09,2.6e-05,5.5e-07,ATE,"Otto Matic",6621,2004-12-10,2023-01-26,429,,,0,.5107,,,,,,,,,
20380818,"380818 (2005 YV128)",,324,0.154,380818,,,Y,N,0,20.67,,,,,,,,,,,,,,,,,,72,2461000.5,61000,2025-11-21.0,J2000,0.5124,0.923,0.450,14.14,127.69,191.83,234.99,1.40,1.112,2461112.96,2026-03-13.4,0.887,60,3.91,6.34,5.8e-08,5.8e-09,5.2e-08,7.5e-06,1.4e-05,1.8e-05,2.4e-05,8.8e-09,1.0e-08,2.3e-05,3.1e-06,ATE,"Otto Matic",6646,2005-12-30,2024-03-11,232,,,0,.46905,,,,4.5e-14,8.9e-15,,,,
20380929,"380929 (2006 HU30)",,641,0.117,380929,,,Y,N,0,19.66,,,,,,,,,49,,,,,,,,,99,2461000.5,61000,2025-11-21.0,J2000,0.4199,1.455,0.844,24.01,44.62,274.29,351.95,2.07,0.5617,2461014.83,2025-12-05.3,1.75,45.5,3.5,4.45,3.6e-08,1.7e-09,5.2e-08,9.1e-06,4.4e-06,9.1e-06,6.7e-06,2.4e-09,9.8e-10,1.2e-05,1.1e-06,APO,"Otto Matic",6861,2006-04-25,2025-02-05,1618,,,0,.28491,,,,,,,,,
20380981,"380981 (2006 SU131)",,830,0.032,380981,,,Y,Y,0,18.64,,,,,,,,,4.92,,,,,,,,,151,2461000.5,61000,2025-11-21.0,J2000,0.3952,1.728,1.045,9.66,107.36,167.82,214.52,2.41,0.434,2461335.74,2026-10-22.2,2.27,12.4,2.72,4.05,2.3e-08,2.7e-09,4.0e-08,2.7e-06,2.4e-05,2.5e-05,5.4e-06,3.8e-09,1.0e-09,1.3e-05,2.0e-06,AMO,"Otto Matic",6641,2006-08-28,2024-11-02,529,,,0,.555,,,,,,,,,
20381181,"381181 (2007 LV19)",0.602,652,0.0866,381181,,,Y,N,0,19.68,,,,,,,,0.064,,,,,,,,,0.04,59,2461000.5,61000,2025-11-21.0,J2000,0.3204,1.471,1.000,14.89,264.01,301.42,142.79,1.94,0.5522,2460741.91,2025-03-07.4,1.78,33.7,3.11,4.51,3.2e-08,4.1e-09,4.7e-08,6.4e-06,1.3e-05,1.8e-05,2.2e-05,5.4e-09,2.3e-09,3.8e-05,2.7e-06,APO,"Otto Matic",6651,2007-06-15,2025-08-30,231,,,0,.48609,,,,,,,,,
20381564,"381564 (2008 UW5)",,906,0.144,381564,,,Y,N,0,18.25,,,,,,,,,,,,,,,,,,108,2461000.5,61000,2025-11-21.0,J2000,0.3893,1.832,1.119,9.42,297.86,204.46,245.83,2.55,0.3974,2461287.79,2026-09-04.2,2.48,56.1,2.51,3.92,5.7e-08,7.0e-09,1.1e-07,4.4e-06,2.9e-05,3.0e-05,1.2e-05,9.7e-09,2.3e-09,3.0e-05,5.2e-06,AMO,"Otto Matic",6155,2008-10-25,2025-09-01,422,,,0,.48917,,,,,,,,,
20381677,"381677 (2009 BJ81)",0.472,920,0.0979,381677,,,Y,N,0,18.36,,,,,,,,0.346,325.,,,,,,,,0.01,286,2461000.5,61000,2025-11-21.0,J2000,0.4559,1.851,1.007,5.84,108.47,90.65,227.95,2.69,0.3914,2461337.88,2026-10-24.3,2.52,38.1,2.28,3.87,7.0e-09,1.5e-09,1.3e-08,1.2e-06,1.3e-05,1.3e-05,1.1e-06,2.1e-09,4.6e-10,3.0e-06,1.1e-06,APO,"Otto Matic",5736,2008-10-30,2024-07-14,1897,2,1,0,.30456,,,,,,,,,
20381906,"381906 (2010 CL19)",0.520,700,0.0113,381906,,,Y,Y,0,17.81,,,,,,,,0.451,3.5197,,,,,,,,0.11,161,2461000.5,61000,2025-11-21.0,J2000,0.6456,1.543,0.547,7.31,243.77,76.83,116.79,2.54,0.5142,2460773.35,2025-04-07.8,1.92,4.41,2.84,4.2,1.8e-08,5.9e-09,2.9e-08,3.5e-06,1.7e-05,1.7e-05,1.3e-05,9.7e-09,3.0e-09,2.4e-05,4.0e-06,APO,"Otto Matic",8753,2001-01-25,2025-01-12,1105,2,0,0,.41827,,,,,,,,,
20381989,"381989 (2010 HR80)",0.783,571,0.105,381989,,,Y,N,0,19.87,,,,,,,,0.020,,,,,,,,,0.01,43,2461000.5,61000,2025-11-21.0,J2000,0.4958,1.347,0.679,26.72,6.19,291.34,292.20,2.02,0.6302,2461108.09,2026-03-08.5,1.56,40.9,3.51,4.65,1.1e-07,1.1e-08,1.5e-07,2.7e-05,1.1e-05,2.3e-05,3.6e-05,1.7e-08,7.9e-09,5.8e-05,7.1e-06,APO,"Otto Matic",5083,2010-04-28,2024-03-28,175,,,0,.59285,,,,,,,,,
20382395,"382395 (1990 SM)",,1.12e+03,0.0329,382395,,,Y,Y,0,16.42,,,,,,,,,,,,,,,,,,87,2461000.5,61000,2025-11-21.0,J2000,0.7629,2.107,0.500,11.62,136.02,107.91,210.83,3.72,0.3222,2461463.54,2027-02-27.0,3.06,12.8,1.53,3.27,1.1e-07,9.3e-09,2.3e-07,3.7e-06,7.7e-05,7.6e-05,1.2e-05,1.6e-08,2.1e-09,3.6e-05,7.4e-06,APO,"Otto Matic",13636,1987-09-28,2025-01-27,258,,,0,.58004,,,,,,,,,
20382406,"382406 (1996 AJ1)",,548,0.00487,382406,,,Y,Y,0,20.57,,,,,,,,,,,,,,,,,,36,2461000.5,61000,2025-11-21.0,J2000,0.7814,1.31,0.286,2.54,90.94,238.33,23.89,2.33,0.6571,2460964.15,2025-10-15.6,1.5,1.89,3.04,4.6,3.5e-07,2.1e-08,4.5e-07,3.5e-05,3.9e-04,3.9e-04,1.8e-05,3.8e-08,1.6e-08,2.7e-05,1.3e-05,APO,"Otto Matic",9877,1996-01-12,2023-01-27,116,,,0,.68379,,,,,,,,,
20382459,"382459 (2000 ST20)",,938,0.408,382459,,,Y,N,0,19.49,,,,,,,,,,,,,,,,,,54,2461000.5,61000,2025-11-21.0,J2000,0.3102,1.875,1.293,16.84,343.28,72.65,258.62,2.46,0.3839,2461264.59,2026-08-12.0,2.57,159,3.11,3.87,4.3e-08,2.9e-09,8.2e-08,7.0e-06,1.3e-05,1.9e-05,9.7e-06,3.8e-09,8.8e-10,2.6e-05,2.2e-06,AMO,"Otto Matic",8396,2000-09-23,2023-09-19,230,,,0,.62223,,,,,,,,,
20382503,"382503 (2001 RE8)",,696,0.161,382503,,,Y,N,0,19.22,,,,,,,,,61.1,,,,,,,,,110,2461000.5,61000,2025-11-21.0,J2000,0.2331,1.536,1.178,14.04,263.77,4.82,306.05,1.89,0.5175,2461104.75,2026-03-05.2,1.9,62.8,3.19,4.41,3.7e-08,4.0e-09,5.6e-08,3.9e-06,1.4e-05,1.6e-05,7.9e-06,4.9e-09,2.0e-09,1.5e-05,2.7e-06,AMO,"Otto Matic",8570,2001-06-19,2024-12-05,424,,,0,.46257,,,,,,,,,
20382625,"382625 (2002 PC130)",,1.31e+03,0.396,382625,,,Y,N,0,18.38,,,,,,,,,,,,,,,,,,96,2461000.5,61000,2025-11-21.0,J2000,0.4816,2.343,1.215,19.51,311.97,80.89,146.93,3.47,0.2748,2460465.77,2024-06-04.2,3.59,154,2.51,3.33,3.6e-08,6.0e-09,8.3e-08,8.6e-06,1.2e-05,2.0e-05,5.8e-06,8.8e-09,1.1e-09,2.1e-05,5.0e-06,AMO,"Otto Matic",8295,2002-07-15,2025-03-31,489,,,0,.46939,,,,,,,,,
