spkid,full_name,diameter,name,velocity,energy,per,moid,pdes,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per_y,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20022099, 22099 (2000 EX106),0.524,,28.345767377034534,9.079463346582348e+19,424,0.168,22099,,Y,N,0,18.09,,,,,,,,0.444,6.334,,,,,S:,,,0.11,297,2461000.5,61000,2025-11-21.0,J2000,0.2763,1.104,0.799,9.85,136.43,186.57,299.82,1.41,0.8491,2461071.37,2026-01-30.8,1.16,65.5,3.88,5.58,2.9e-09,2.1e-09,2.8e-09,1.6e-07,8.5e-07,9.3e-07,6.3e-06,2.6e-09,2.4e-09,7.6e-06,1.2e-06,APO,Otto Matic,11016,1994-01-30,2024-03-29,2341,,,0,.35555,,,,9.7e-15,3.2e-15,,,,
20477490,477490 (2010 CG18),0.652,,24.8280355433178,1.3418914490579308e+20,630,0.129,477490,,Y,N,0,20.59,,,,,,,,0.017,,,,,,,,,0.02,51,2461000.5,61000,2025-11-21.0,J2000,0.2261,1.439,1.113,10.15,78.78,351.62,78.71,1.76,0.5712,2460862.70,2025-07-06.2,1.73,50.3,3.51,4.62,5.4e-08,6.0e-09,7.7e-08,4.9e-06,2.2e-05,2.8e-05,2.2e-05,7.4e-09,3.6e-09,3.7e-05,4.0e-06,AMO,Otto Matic,5217,2010-01-19,2024-05-02,299,,,0,.435,,,,,,,,,
20246138,246138 (2007 OG3),0.588,,20.24155183880343,6.541983881083181e+19,1.16e+03,0.12,246138,,Y,N,0,18.25,,,,,,,,0.269,,,,,,,,,0.17,60,2461000.5,61000,2025-11-21.0,J2000,0.4814,2.165,1.123,1.69,78.32,272.01,269.02,3.21,0.3095,2461294.47,2026-09-10.9,3.18,46.6,2.22,3.53,5.0e-08,9.5e-09,1.1e-07,7.8e-06,1.7e-04,1.7e-04,1.6e-05,1.4e-08,2.0e-09,5.3e-05,7.6e-06,AMO,Otto Matic,18043,1975-10-29,2025-03-23,300,,,0,.4581,,,,,,,,,
20162142,162142 (1998 VR),0.462,,31.834225710201586,7.848820380071068e+19,299,0.151,162142,,Y,N,0,18.83,,,,,,,,0.250,8.44,,,,,Sk,,,0.17,JPL 103,2461000.5,61000,2025-11-21.0,J2000,0.3179,0.8753,0.597,21.81,46.35,170.74,196.47,1.15,1.204,2461136.37,2026-04-05.8,0.819,58.8,3.82,6.67,7.3e-08,3.4e-09,6.4e-08,1.1e-05,7.0e-06,2.4e-05,3.2e-05,4.5e-09,7.0e-09,2.6e-05,1.7e-06,ATE,Otto Matic,9825,1998-11-10,2025-10-04,525,,,0,.41809,,,,1.6e-14,4.2e-15,,,,
20001915,  1915 Quetzalcoatl (1953 EA),0.5,Quetzalcoatl,18.669335575090322,3.42182360986745e+19,1.48e+03,0.109,1915,,Y,N,0,18.38,0.10,,,,,,,0.21,4.9,,0.784,0.430,,,SMU,,,13,2461000.5,61000,2025-11-21.0,J2000,0.5702,2.545,1.094,20.40,162.92,347.76,21.62,4.00,0.2428,2460911.46,2025-08-23.9,4.06,42.4,1.07,3.12,2.2e-07,8.2e-08,5.9e-07,6.6e-05,6.3e-05,9.2e-05,1.8e-04,1.3e-07,1.2e-08,7.5e-04,7.2e-05,AMO,Otto Matic,24702,1953-03-09,2020-10-25,55,0,1,0,.67784,,,,,,,,,
20153201,153201 (2000 WO107),0.51,,31.202524444225414,1.0143314092824773e+20,318,0.00286,153201,,Y,Y,0,19.30,,,,,,,,0.129,5.022,,,,,X,,,0.08,184,2461000.5,61000,2025-11-21.0,J2000,0.7808,0.9111,0.200,7.77,69.19,213.76,312.79,1.62,1.133,2461042.16,2026-01-01.6,0.87,1.11,3.55,6.23,2.1e-08,5.1e-09,2.0e-08,4.5e-06,7.2e-06,7.4e-06,1.5e-05,9.1e-09,9.5e-09,1.3e-05,2.7e-06,ATE,Otto Matic,8479,2000-11-29,2024-02-16,1137,4,4,0,.33489,,,,-1.6e-14,3.2e-15,,,,
20455299,455299 (2002 EL6),0.537,,19.642794347555267,4.692662040576007e+19,1.27e+03,0.0454,455299,,Y,Y,0,18.05,,,,,,,,0.386,,,,,,,,,0.17,119,2461000.5,61000,2025-11-21.0,J2000,0.5802,2.299,0.965,9.53,84.83,186.97,258.02,3.63,0.2827,2461361.29,2026-11-16.7,3.49,17.6,1.5,3.33,2.3e-08,2.8e-09,5.2e-08,5.2e-06,5.3e-05,5.1e-05,6.1e-06,4.4e-09,5.1e-10,2.2e-05,2.3e-06,APO,Otto Matic,7965,2002-03-10,2023-12-30,600,,,0,.52395,,,,,,,,,
20437994,437994 (2003 UL12),1.078,,16.445074056046337,2.6608343046363356e+20,2.17e+03,0.254,437994,,Y,N,0,17.48,,,,,,,,0.200,,,,,,,,,0.02,108,2461000.5,61000,2025-11-21.0,J2000,0.7034,3.28,0.973,19.81,192.68,275.32,243.17,5.59,0.166,2461704.49,2027-10-25.9,5.94,98.9,1.57,2.65,5.4e-08,1.5e-08,1.8e-07,1.3e-05,1.5e-05,2.5e-05,7.7e-06,2.6e-08,1.2e-09,5.1e-05,1.5e-05,APO,Otto Matic,8809,1998-04-23,2022-06-05,495,,,0,.53029,,,,,,,,,
20052760, 52760 (1998 ML14),1.0,,19.18908892358675,2.8920020214570903e+20,1.37e+03,0.017,52760,,Y,Y,0,17.52,,,,,,,,,14.28,,,,,,,,0.05,159,2461000.5,61000,2025-11-21.0,J2000,0.6236,2.409,0.907,2.43,338.65,20.36,92.55,3.91,0.2637,2460649.51,2024-12-05.0,3.74,6.6,1.55,3.22,3.3e-09,6.6e-10,7.7e-09,3.0e-06,3.0e-05,3.0e-05,9.6e-07,1.1e-09,1.1e-10,3.5e-06,5.6e-07,APO,Otto Matic,9768,1998-06-24,2025-03-22,708,11,7,0,.41939,,,,,,,,,
20349074,349074 (2007 BM8),1.081,,25.719253939613175,6.562717292338585e+20,568,0.407,349074,,Y,N,0,18.39,,,,,,,,0.067,,,,,,,,,0.17,71,2461000.5,61000,2025-11-21.0,J2000,0.7209,1.341,0.374,27.64,87.62,179.31,343.05,2.31,0.6344,2461027.22,2025-12-17.7,1.55,158,2.8,4.5,2.6e-08,5.1e-09,3.5e-08,4.2e-06,9.4e-06,1.0e-05,1.0e-05,8.8e-09,3.6e-09,1.6e-05,3.2e-06,APO,Otto Matic,8055,2002-12-05,2024-12-24,217,,,0,.55905,,,,,,,,,
